cache_misses,cache_load,cache_miss_ratio(%),dTLB_misses,dTLB_load,dTLB_miss_ratio(%),runtime(ms)
2175.000000,50217.000000,4.33,12.000000,48383.000000,0.02,0.030000
2128.000000,50193.000000,4.24,22.000000,49936.000000,0.04,0.027000
2109.000000,50172.000000,4.20,17.000000,48416.000000,0.04,0.027000
3105.000000,52415.000000,5.92,209.000000,49853.000000,0.42,0.130000
2121.000000,50187.000000,4.23,11.000000,48405.000000,0.02,0.029000
2133.000000,50194.000000,4.25,13.000000,48409.000000,0.03,0.027000
2440.000000,50482.000000,4.83,30.000000,49927.000000,0.06,0.065000
2043.000000,48564.000000,4.21,15.000000,46871.000000,0.03,0.046000
2110.000000,50152.000000,4.21,17.000000,48393.000000,0.04,0.030000
2090.000000,50132.000000,4.17,14.000000,48379.000000,0.03,0.031000
2142.000000,50203.000000,4.27,21.000000,49941.000000,0.04,0.030000
2120.000000,50186.000000,4.22,11.000000,48405.000000,0.02,0.027000
2122.000000,50164.000000,4.23,16.000000,49920.000000,0.03,0.030000
2027.000000,48548.000000,4.18,14.000000,46869.000000,0.03,0.040000
2133.000000,50176.000000,4.25,12.000000,48388.000000,0.02,0.028000
2037.000000,48558.000000,4.19,11.000000,46857.000000,0.02,0.028000
2154.000000,50220.000000,4.29,16.000000,48416.000000,0.03,0.031000
2087.000000,48608.000000,4.29,13.000000,46871.000000,0.03,0.031000
2137.000000,50201.000000,4.26,17.000000,49936.000000,0.03,0.032000
2135.000000,50182.000000,4.25,15.000000,48397.000000,0.03,0.031000
2128.000000,50170.000000,4.24,12.000000,48388.000000,0.02,0.031000
2153.000000,50217.000000,4.29,16.000000,49924.000000,0.03,0.032000
2177.000000,50243.000000,4.33,21.000000,49942.000000,0.04,0.031000
2131.000000,50194.000000,4.25,13.000000,48409.000000,0.03,0.030000
2161.000000,50205.000000,4.30,15.000000,48393.000000,0.03,0.028000
2335.000000,50378.000000,4.63,39.000000,48400.000000,0.08,0.080000
2173.000000,50239.000000,4.33,18.000000,49939.000000,0.04,0.036000
2149.000000,50214.000000,4.28,15.000000,48415.000000,0.03,0.046000
2159.000000,50201.000000,4.30,14.000000,48384.000000,0.03,0.029000
2157.000000,50223.000000,4.29,21.000000,49936.000000,0.04,0.028000
2182.000000,50229.000000,4.34,19.000000,49917.000000,0.04,0.030000
2190.000000,50237.000000,4.36,16.000000,48391.000000,0.03,0.028000
2171.000000,50235.000000,4.32,15.000000,48408.000000,0.03,0.030000
2139.000000,50204.000000,4.26,12.000000,48406.000000,0.02,0.033000
2072.000000,48593.000000,4.26,12.000000,46867.000000,0.03,0.028000
